stand,plot,tree,spp,dbh,cr,logs,height,ba_tree,tpa,ba,bal,site_class,lat,lon,elev
1,10e,2,hard maple,8.3,34.45378151,2222555555,56.287,0.375736669,20,,,5,44.441,-74.251,1700
1,10e,3,red maple,15.6,55.39568345,2222555555,74.504,1.327322917,20,,,5,44.441,-74.251,1700
1,10e,4,hard maple,6.6,45.0617284,2222555555,51.03,0.237582948,20,,,5,44.441,-74.251,1700
1,10w,5,yellow birch,20.9,36.11111111,2222555555,79.776,2.382429009,20,,,5,44.441,-74.251,1700
1,10w,6,hard maple,6.2,37.65432099,2222555555,101.574,0.20965768,20,,,5,44.441,-74.251,1700
1,10w,7,hard maple,7.6,22.98850575,2222555555,49.938,0.315031935,20,,,5,44.441,-74.251,1700
1,10w,8,hard maple,7.1,46.66666667,2222555555,45.075,0.274943903,20,,,5,44.441,-74.251,1700
1,10w,9,hard maple,11.4,42.33576642,2222555555,63.294,0.708821854,20,,,5,44.441,-74.251,1700
1,11e,1,yellow birch,18.9,52.44755245,2222555555,80.223,1.94827835,20,,,5,44.441,-74.251,1700
1,11e,2,hard maple,10.3,47.27272727,2222555555,74.415,0.578631198,20,,,5,44.441,-74.251,1700
1,11e,3,hard maple,7.1,45.6,2222555555,62.375,0.274943903,20,,,5,44.441,-74.251,1700
1,11e,4,hard maple,7.2,33.00970874,2222555555,54.075,0.282743343,20,,,5,44.441,-74.251,1700
1,11e,5,hard maple,9.3,53.47222222,2222555555,66.96,0.471729779,20,,,5,44.441,-74.251,1700
1,11e,6,hard maple,11.1,48.02631579,2222555555,65.36,0.672006314,20,,,5,44.441,-74.251,1700
1,11e,7,hard maple,12.6,43.62416107,2222555555,73.01,0.865901489,20,,,5,44.441,-74.251,1700
1,11w,8,hard maple,9.8,48.5915493,2222555555,59.356,0.52381695,20,,,5,44.441,-74.251,1700
1,11w,9,hard maple,11,39.69465649,2222555555,63.666,0.659952634,20,,,5,44.441,-74.251,1700
